coin,datetime,price,volume
bitcoin,2024-12-06 00:00:00,97201.50036407741,190460293531.53802
bitcoin,2024-12-07 00:00:00,99973.85150659826,115812632020.44765
bitcoin,2024-12-08 00:00:00,99781.82999198174,61061136199.7846
bitcoin,2024-12-09 00:00:00,101235.3717025316,62677764785.05408
bitcoin,2024-12-10 00:00:00,97353.94700820887,146846843211.51685
bitcoin,2024-12-11 00:00:00,96649.71446771531,125835977742.51114
bitcoin,2024-12-12 00:00:00,101123.61811033697,118484957960.76833
bitcoin,2024-12-13 00:00:00,100000.80836535197,100092043319.81221
bitcoin,2024-12-14 00:00:00,101352.22971292294,78802903278.85962
bitcoin,2024-12-15 00:00:00,101367.01064553364,57321924844.41535
bitcoin,2024-12-16 00:00:00,104721.50151808978,70645074624.52869
bitcoin,2024-12-17 00:00:00,106074.10723541168,115184737759.33566
bitcoin,2024-12-18 00:00:00,106034.913402645,93417826250.1972
bitcoin,2024-12-19 00:00:00,100355.5761481501,113692025885.44745
bitcoin,2024-12-20 00:00:00,97851.35377075805,100611554887.24123
bitcoin,2024-12-21 00:00:00,97691.43431692653,112340864006.62827
bitcoin,2024-12-22 00:00:00,97202.82496847633,53058382639.48845
bitcoin,2024-12-23 00:00:00,95094.27394862173,44619017105.36954
bitcoin,2024-12-24 00:00:00,94644.91085464321,64937790292.61125
bitcoin,2024-12-25 00:00:00,98695.71400782601,49169088282.15742
bitcoin,2024-12-26 00:00:00,99344.95417367229,33963749856.44743
bitcoin,2024-12-27 00:00:00,95678.31244565405,45049342388.18843
bitcoin,2024-12-28 00:00:00,94331.94727053077,41498540807.666954
bitcoin,2024-12-29 00:00:00,95184.61945288602,22429850903.940086
bitcoin,2024-12-30 00:00:00,93663.44751964067,24065314499.502274
bitcoin,2024-12-31 00:00:00,92627.28213113277,57595164139.4709
bitcoin,2025-01-01 00:00:00,93507.85874741491,45327464907.74362
bitcoin,2025-01-02 00:00:00,94384.1761153871,23275007789.496334
bitcoin,2025-01-03 00:00:00,96852.14681235075,45157338602.617516
bitcoin,2025-01-04 00:00:00,98084.34279280754,35721645948.10051
bitcoin,2025-01-05 00:00:00,98256.73876849933,20979035420.980793
bitcoin,2025-01-06 00:00:00,98364.58946599838,20060293834.7155
bitcoin,2025-01-07 00:00:00,102229.39453189743,46111387334.46171
bitcoin,2025-01-08 00:00:00,96952.09886774956,60610257147.15405
bitcoin,2025-01-09 00:00:00,95016.71440989176,65790469838.34392
bitcoin,2025-01-10 00:00:00,92376.27578346101,65850881574.76184
bitcoin,2025-01-11 00:00:00,94736.6267420969,63433655716.757095
bitcoin,2025-01-12 00:00:00,94559.55167224213,17836423168.41627
bitcoin,2025-01-13 00:00:00,94454.77089638807,19608932595.53299
bitcoin,2025-01-14 00:00:00,94456.3493746993,76328330233.31137
bitcoin,2025-01-15 00:00:00,96574.07768799194,51241728228.81719
bitcoin,2025-01-16 00:00:00,100313.15239828422,57637319739.543396
bitcoin,2025-01-17 00:00:00,100044.57926776377,50150102497.2729
bitcoin,2025-01-18 00:00:00,104160.69358484233,69135117732.00064
bitcoin,2025-01-19 00:00:00,104334.61575724394,49416447749.13053
bitcoin,2025-01-20 00:00:00,101275.33714814208,72970313683.92325
bitcoin,2025-01-21 00:00:00,101764.90860170545,120158523166.88387
bitcoin,2025-01-22 00:00:00,106182.2368201815,95344290057.8965
bitcoin,2025-01-23 00:00:00,103673.53509537787,55030669602.56557
bitcoin,2025-01-24 00:00:00,104067.60991206947,102455227371.20761
bitcoin,2025-01-25 00:00:00,104835.19253555956,51418786362.7815
bitcoin,2025-01-26 00:00:00,104796.04077738234,22740744964.719296
bitcoin,2025-01-27 00:00:00,102552.24874280207,20639818380.26942
bitcoin,2025-01-28 00:00:00,101958.46953745594,93191643783.24739
bitcoin,2025-01-29 00:00:00,101313.11264498268,45780526813.56264
bitcoin,2025-01-30 00:00:00,103718.97939813645,47425401641.53094
bitcoin,2025-01-31 00:00:00,104781.5135100103,42122570869.034325
bitcoin,2025-02-01 00:00:00,102382.39409722165,37187819228.35328
bitcoin,2025-02-02 00:00:00,100674.78762544956,22827776122.48367
bitcoin,2025-02-03 00:00:00,97568.31653024875,59784234332.21204
