coin,datetime,price,volume,ret_log,vol_rolling,volumen_promedio,drawdown
avalanche-2,2024-12-20 00:00:00,39.08134685229172,1249004627.1934886,,,,0.0
avalanche-2,2024-12-21 00:00:00,39.78166800407164,1223452752.2291224,0.017760912707994847,,,0.0
avalanche-2,2024-12-22 00:00:00,37.37907247949279,610062418.624893,-0.06229521483064788,,,-0.06039453962395304
avalanche-2,2024-12-23 00:00:00,36.51908958975495,490425231.7415241,-0.023275862107498685,,,-0.08201210703338957
avalanche-2,2024-12-24 00:00:00,39.00807867314232,717211697.0500364,0.06593364381380805,,,-0.0194458746890689
avalanche-2,2024-12-25 00:00:00,41.248534157768994,575992424.3426508,0.055846806436875424,,,0.0
avalanche-2,2024-12-26 00:00:00,40.26836112987529,334649780.44913954,-0.024049499592878193,,,-0.0237626147912239
avalanche-2,2024-12-27 00:00:00,37.27150561446622,445525494.31015503,-0.07733696682158804,,,-0.0964162393769262
avalanche-2,2024-12-28 00:00:00,36.47293046911688,413702114.375436,-0.021658755704540258,,,-0.11577632481159687
avalanche-2,2024-12-29 00:00:00,37.66289197757774,279301507.14420456,0.032104957576868806,,,-0.08692774794073281
avalanche-2,2024-12-30 00:00:00,35.859555171567706,287337697.63248444,-0.049065248523259,,,-0.13064655741678752
avalanche-2,2024-12-31 00:00:00,35.905494500541415,510154209.8900068,0.0012802704229566524,,,-0.12953283713771047
avalanche-2,2025-01-01 00:00:00,35.67488525834681,336545924.2327478,-0.0064433868841063035,,,-0.13512356289083807
avalanche-2,2025-01-02 00:00:00,37.62793802638938,306625837.42126423,0.05329986004701491,,,-0.08777514656718266
avalanche-2,2025-01-03 00:00:00,39.23383156271445,477726471.00947976,0.04179261755157699,,,-0.048843010695813614
avalanche-2,2025-01-04 00:00:00,41.81906643608283,575540255.8566815,0.06381294571526194,,,0.0
avalanche-2,2025-01-05 00:00:00,42.68329882621046,400210212.90735936,0.020455345164846334,,,0.0
avalanche-2,2025-01-06 00:00:00,43.0569611659616,364122276.3020267,0.008716201827332055,,,0.0
avalanche-2,2025-01-07 00:00:00,43.99530989416074,633072768.6596943,0.021559117562725088,,,0.0
avalanche-2,2025-01-08 00:00:00,39.35523210506883,624382368.3780711,-0.11145410561766159,,,-0.10546755552477115
avalanche-2,2025-01-09 00:00:00,37.40611698294887,595606280.1660924,-0.050794682564067745,,,-0.14977034886362775
avalanche-2,2025-01-10 00:00:00,36.20812555861527,419966079.3458376,-0.03255069015167129,,,-0.17700032922325248
avalanche-2,2025-01-11 00:00:00,36.72107918330164,428041375.2892138,0.014067398255030493,,,-0.1653410494972913
avalanche-2,2025-01-12 00:00:00,37.12535633164786,224420090.7847612,0.010949240391775134,,,-0.1561519529931688
avalanche-2,2025-01-13 00:00:00,36.521164132733794,177566886.61546493,-0.01640826343606463,,,-0.16988505773473253
avalanche-2,2025-01-14 00:00:00,35.298779903288505,545478775.8484187,-0.03404353210390539,,,-0.19766947912842134
avalanche-2,2025-01-15 00:00:00,36.51025590004638,294643949.580119,0.03374480498717565,,,-0.17013299854282446
avalanche-2,2025-01-16 00:00:00,39.85020281269093,520759029.572942,0.08753428994293368,,,-0.09421702202897694
avalanche-2,2025-01-17 00:00:00,40.00309124046877,475282480.137261,0.003829237513826152,,,-0.09074191461080802
avalanche-2,2025-01-18 00:00:00,41.44150745214298,449468343.9724368,0.03532624189087991,,499542645.3687671,-0.05804715202964656
avalanche-2,2025-01-19 00:00:00,39.28882580647152,494353205.7460359,-0.05334282620904646,0.046627022589772096,474387597.98718536,-0.10697695047521157
avalanche-2,2025-01-20 00:00:00,35.752270105212936,836591656.0937827,-0.09432638125093773,0.04956747208486333,461492228.1160074,-0.18736178489884575
avalanche-2,2025-01-21 00:00:00,35.781734985336136,1106122470.572552,0.000823800701561603,0.04831207975656691,478027563.1809293,-0.18669205714390816
avalanche-2,2025-01-22 00:00:00,36.95423736734435,544004394.4856749,0.03224275195962171,0.04851035642343608,479813535.27240103,-0.1600414349564774
avalanche-2,2025-01-23 00:00:00,36.71597669034663,317840517.50630844,-0.006468326738707259,0.04691203033079005,466501162.6209434,-0.16545702760876013
avalanche-2,2025-01-24 00:00:00,35.592764537640605,480762165.9815043,-0.031069618616444823,0.04588785697244509,463326820.67557186,-0.19098729789002714
avalanche-2,2025-01-25 00:00:00,35.30074777654587,573841861.4383762,-0.008238226690120353,0.04575111572601179,471299890.0418798,-0.19762474996837912
avalanche-2,2025-01-26 00:00:00,36.67897855568776,646485415.7207613,0.03829965236826996,0.04423951209773709,477998554.08889997,-0.1662979839458759
avalanche-2,2025-01-27 00:00:00,35.83005391704498,341685545.4861318,-0.023416763437276722,0.044269612994408444,475598001.79258984,-0.18559378253634015
avalanche-2,2025-01-28 00:00:00,34.16675754604066,718469964.2212467,-0.0475338663264996,0.04462760587306089,490236950.36182463,-0.22340000267675292
avalanche-2,2025-01-29 00:00:00,32.18605202288011,352096026.8529708,-0.05971997807579293,0.04504525142195024,492395561.3358408,-0.2684208362139076
avalanche-2,2025-01-30 00:00:00,32.85402842424187,417326777.8582007,0.0205411765718717,0.04525402538228696,489301313.6014473,-0.25323793596911554
avalanche-2,2025-01-31 00:00:00,34.306853327738345,323831189.872312,0.04327077139984904,0.04602574148168306,488877489.1227661,-0.22021566820940366
avalanche-2,2025-02-01 00:00:00,34.40327525683963,418083856.8413648,0.0028066311148574412,0.04486880836038137,492592756.4367694,-0.21802402711554061
