coin,datetime,price,volume,ret_log,vol_rolling,volumen_promedio,drawdown,target_up
avalanche-2,2024-12-20,39.08134685229172,1249004627.1934886,,,,0.0,1
avalanche-2,2024-12-21,39.78166800407164,1223452752.2291224,0.0177609127079948,,,0.0,1
avalanche-2,2024-12-22,37.37907247949279,610062418.624893,-0.0622952148306478,,,-0.060394539623953,0
avalanche-2,2024-12-23,36.51908958975495,490425231.7415241,-0.0232758621074986,,,-0.0820121070333895,0
avalanche-2,2024-12-24,39.00807867314232,717211697.0500364,0.065933643813808,,,-0.0194458746890689,0
avalanche-2,2024-12-25,41.248534157768994,575992424.3426508,0.0558468064368754,,,0.0,0
avalanche-2,2024-12-26,40.26836112987529,334649780.44913954,-0.0240494995928781,,,-0.0237626147912239,0
avalanche-2,2024-12-27,37.27150561446622,445525494.31015503,-0.077336966821588,,,-0.0964162393769262,0
avalanche-2,2024-12-28,36.47293046911688,413702114.375436,-0.0216587557045402,,,-0.1157763248115968,1
avalanche-2,2024-12-29,37.66289197757774,279301507.14420456,0.0321049575768688,,,-0.0869277479407328,1
avalanche-2,2024-12-30,35.859555171567706,287337697.63248444,-0.049065248523259,,,-0.1306465574167875,1
avalanche-2,2024-12-31,35.905494500541415,510154209.8900068,0.0012802704229566,,,-0.1295328371377104,1
avalanche-2,2025-01-01,35.67488525834681,336545924.2327478,-0.0064433868841063,,,-0.135123562890838,1
avalanche-2,2025-01-02,37.62793802638938,306625837.42126423,0.0532998600470149,,,-0.0877751465671826,1
avalanche-2,2025-01-03,39.23383156271445,477726471.00947976,0.0417926175515769,,,-0.0488430106958136,1
avalanche-2,2025-01-04,41.81906643608283,575540255.8566815,0.0638129457152619,,,0.0,0
avalanche-2,2025-01-05,42.68329882621046,400210212.90735936,0.0204553451648463,,,0.0,0
avalanche-2,2025-01-06,43.0569611659616,364122276.3020267,0.008716201827332,,,0.0,0
avalanche-2,2025-01-07,43.99530989416074,633072768.6596943,0.021559117562725,,,0.0,0
avalanche-2,2025-01-08,39.35523210506883,624382368.3780711,-0.1114541056176615,,,-0.1054675555247711,0
